,index,location,points,price,country,polarity
64,64,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",92,,France,0.20833333333333334
65,65,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",97,325.0,Italy,0.19749999999999998
66,66,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",96,105.0,France,0.3408333333333334
67,67,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",95,105.0,Italy,0.27499999999999997
68,68,"Domaine Dujac winery ,Clos de la Roche, Burgundy, France",96,304.0,France,0.19249999999999998
69,69,"Domaine Jacques Prieur winery ,Musigny, Burgundy, France",96,510.0,France,0.22604166666666667
70,70,"Domaine Jacques Prieur winery ,Echézeaux, Burgundy, France",95,370.0,France,0.13537414965986397
71,71,"Louis Latour winery ,Montrachet, Burgundy, France",95,440.0,France,0.28666666666666674
72,72,"Domaine Jacques Prieur winery ,Chambertin, Burgundy, France",95,360.0,France,0.22777777777777775
73,73,"Domaine Dujac winery ,Clos Saint-Denis, Burgundy, France",95,304.0,France,0.10694444444444447
74,74,"Wayfarer winery ,Fort Ross-Seaview, California, US",93,125.0,US,0.03888888888888889
75,75,"Domaine Rossignol-Trapet winery ,Chambertin, Burgundy, France",96,240.0,France,0.37083333333333335
76,76,"Bouchard Père & Fils winery ,Chevalier-Montrachet, Burgundy, France",96,315.0,France,0.34375
77,77,"Casanova di Neri winery ,Brunello di Montalcino, Tuscany, Italy",95,50.0,Italy,0.16145833333333334
78,78,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",94,99.0,Italy,0.13647619047619047
79,79,"Yao Ming winery ,Napa Valley, California, US",94,625.0,US,0.360625
80,80,"Tenuta San Guido winery ,Bolgheri Sassicaia, Tuscany, Italy",98,235.0,Italy,0.258974358974359
81,81,"Cerbaiona winery ,Brunello di Montalcino, Tuscany, Italy",95,,Italy,0.4406060606060606
82,82,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",94,325.0,Italy,0.20833333333333334
83,83,"Louis Jadot winery ,Bâtard-Montrachet, Burgundy, France",98,367.0,France,0.23839285714285713
